a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1.1
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.12.3-1
alsa-card-profiles 1:1.0.0-2.1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20231211.f2e52a1c-1
android-sdk-platform-tools 34.0.5-2
android-udev 20231124-1
ani-cli 4.7-1
aom 3.8.0-2
appstream 1.0.1-1
archlinux-keyring 20231207-1
archlinux-mirrorlist 20230820-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3.1
artix-archlinux-support 2-1
artix-keyring 20220901-2
artix-mirrorlist 20231003-1
artix-pipewire-loader 1.0-1
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attica5 5.113.0-1
attr 2.5.1-3
audacity 1:3.4.2-2
audit 3.1.2-1
autoconf 2.71-4
autoconf-archive 1:2023.02.20-1
autologin 1.0.0-1
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
baloo-widgets 23.08.4-1
baloo5 5.113.0-1
base 3-3
base-devel 1-1
bash 5.2.021-1
bc 1.07.1-4.1
better-adb-sync-git r76.2d19f23-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
bluez-libs 5.71-3
botan2 2.19.3-1
breeze 5.27.10-1
breeze-icons 5.113.0-1
brotli 1.1.0-1
btop 1.2.13-1
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.23.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cachyos-keyring 3-1
cachyos-mirrorlist 18-1
cachyos-v3-mirrorlist 18-1
cachyos-v4-mirrorlist 6-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cbindgen 0.26.0-1
cblas 3.12.0-3
cdparanoia 10.2-8.2
cfitsio 1:4.3.1-1
chafa 1.12.4-3
check 0.15.2-2
chrono-date 3.0.1-3
cifs-utils 7.0-3
cinnamon-desktop 6.0.0-1
clang 16.0.6-1.1
cli11 2.3.2-1
cmake 3.28.1-1
compiler-rt 16.0.6-2
connman 1.41-1
convertlit 1.8-11
corectrl 1.3.8-2
coreutils 9.4-2
cpio 2.14-1
cppdap 1.58.0-1
cryptsetup 2.6.1-3
cups 1:2.4.7-2
cups-filters 2.0.0-1
curl 8.5.0-1
